Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,0089152","0,0037386","0,033472",0,0,0,"0,14441","5,0656E-05","-1,7172E-06","-4,1779E-06","0,00013332","2,3836E-06","0,00016971",0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/base_link.STL,"0,69804","0,69804","0,69804",1,0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/base_link.STL,,base-1;palm-1;palm_soft-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
proximal_thumb,"-0,015654","0,029955","0,02991",0,0,0,"0,1524","4,3343E-05","7,7914E-06","-8,2283E-08","4,109E-05","-8,6485E-08","4,2646E-05",0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/proximal_thumb.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/proximal_thumb.STL,,proximal_palm_ver2-1;proximal-1;servo_ST3215-2;servo_ST3215-1,Origin_joint_proximal_thumb,proximal_th_axis,joint_proximal_thumb,revolute,"-0,05532","-0,00754","0,0075",0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
mideal_thumb,"0,00038305","-0,0013227","0,042746",0,0,0,"0,080951","2,2936E-05","-2,4579E-07","-1,4838E-07","2,9321E-05","7,5298E-07","1,4994E-05",0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/mideal_thumb.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/mideal_thumb.STL,,mideal-1;servo_ST3215-5;soft_mideal-1,Origin_joint_mideal_thumb,mideal_th_axis,joint_mideal_thumb,revolute,"-0,024495","0,05232","0,05561",0,0,0,proximal_thumb,1,0,0,0,0,0,0,,,,,,,,
distal_thumb,"0,00023967","-0,00041638","0,034377",0,0,0,"0,025098","1,1258E-05","-1,1272E-11","4,9029E-12","1,6125E-05","6,5286E-08","9,0646E-06",0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/distal_thumb.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/distal_thumb.STL,,distal-1;soft_distal-1,Origin_joint_distal_thumb,distal_th_axis,joint_distal_thumb,revolute,0,0,"0,05861",0,0,0,mideal_thumb,1,0,0,0,0,0,0,,,,,,,,
proximal_finger_first,"0,000296203582652046","0,0006516973139282","0,0249998780074845",0,0,0,"0,0675423673234977","1,63603804669836E-05","-7,61426068978448E-08","1,24396838964321E-08","1,91615017103963E-05","2,48697806610957E-07","9,81866259462588E-06",0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/proximal_finger_first.STL,"0,698039215686274","0,698039215686274","0,698039215686274",1,0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/proximal_finger_first.STL,,servo_ST3215-3;proximal-2,Origin_joint_proximal_finger_first,,joint_proximal_finger_first,fixed,"-0,0302","0,04346","0,025",0,0,0,base_link,0,0,0,,,,,,,,,,,,
mideal_finger first,"0,000383050288938834","-0,00132273624630646","0,0427464912817172",0,0,0,"0,0809511181244797","2,29356455586384E-05","-2,4579011109225E-07","-1,48376826392739E-07","2,9320679485353E-05","7,52978669619452E-07","1,49942065418516E-05",0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/mideal_finger first.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/mideal_finger first.STL,,mideal-2;soft_mideal-2;servo_ST3215-6,Origin_joint_mideal_finger first,mideal_first-axis,joint_mideal_finger first,revolute,"0,000375","0,0014","0,03811",0,0,0,proximal_finger_first,1,0,0,0,0,0,0,,,,,,,,
distal_finger first,"0,000239668381832973","-0,000416380702709402","0,0343767364418331",0,0,0,"0,0250979032594345","1,12577466975426E-05","-1,12635631190532E-11","4,90657935852437E-12","1,61247763423673E-05","6,52862250239253E-08","9,06461848927077E-06",0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/distal_finger first.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/distal_finger first.STL,,distal-2;soft_distal-2,Origin_joint_distal_finger first,distal_first_axis,joint_distal_finger first,revolute,0,0,"0,05861",0,0,0,mideal_finger first,1,0,0,0,0,0,0,,,,,,,,
proximal_finger_second,"0,000296203582651838","0,000651697313928203","0,024999878007485",0,0,0,"0,0675423673234979","1,63603804669837E-05","-7,61426068978491E-08","1,24396838964255E-08","1,91615017103964E-05","2,48697806610942E-07","9,81866259462591E-06",0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/proximal_finger_second.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/proximal_finger_second.STL,,proximal-3;servo_ST3215-4,Origin_joint_proximal_finger_second,,joint_proximal_finger_second,fixed,"0,0196","0,04346","0,025",0,0,0,base_link,0,0,0,,,,,,,,,,,,
mideal_finger_second,"0,00038305028189406","-0,00132273624605782","0,0427464912762848",0,0,0,"0,0809511180962864","2,29356455571759E-05","-2,457901112516E-07","-1,4837682086602E-07","2,93206794805552E-05","7,52978668851671E-07","1,49942065386106E-05",0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/mideal_finger_second.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/mideal_finger_second.STL,,mideal-3;servo_ST3215-7;soft_mideal-3,Origin_joint_mideal_finger_second,mideal_second-axis,joint_mideal_finger_second,revolute,"0,000375","0,0014","0,03811",0,0,0,proximal_finger_second,-1,0,0,0,0,0,0,,,,,,,,
distal_finger_second,"0,000239666608695788","-0,000416382279528527","0,0343767375660755",0,0,0,"0,0250978999147694","1,12577462481103E-05","-1,07761873356734E-11","4,59506151653348E-12","1,61247756109098E-05","6,52859775044248E-08","9,06461760256706E-06",0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/distal_finger_second.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://hand_asembly_ver2_URDF_5/meshes/distal_finger_second.STL,,soft_distal-3;distal-3,Origin_joint_distal_finger_second,distal_secons_axis,joint_distal_finger_second,revolute,0,0,"0,05861",0,0,0,mideal_finger_second,-1,0,0,0,0,0,0,,,,,,,,
